Name,Al Concentration (%),Fe Concentration (%),Ni Concentration (%),SIPFENN_Krajewski2022_NN30_endmembers,SIPFENN_Krajewski2022_NN30_dilute,Formation_H
1746_t1_dilute.POSCAR,27.27272727272727,59.09090909090909,13.636363636363637,,0.172410562634468,0.172410562634468
7344_t1_dilute.POSCAR,0.0,59.09090909090909,40.909090909090914,,0.2780921757221222,0.2780921757221222
2253_t1_dilute.POSCAR,31.818181818181817,18.181818181818183,50.0,,0.0272973366081714,0.0272973366081714
1419_t1_dilute.POSCAR,31.818181818181817,68.18181818181817,0.0,,0.1180617436766624,0.1180617436766624
321_t1_dilute.POSCAR,50.0,0.0,50.0,,-0.3854720294475555,-0.3854720294475555
4651_t1_dilute.POSCAR,40.909090909090914,40.909090909090914,18.181818181818183,,-0.0574779324233531,-0.0574779324233531
1624_t1_dilute.POSCAR,63.63636363636363,13.636363636363637,22.727272727272727,,-0.3987282812595367,-0.3987282812595367
7226_t1_dilute.POSCAR,18.181818181818183,40.909090909090914,40.909090909090914,,0.0439251847565174,0.0439251847565174
7218_t1_dilute.POSCAR,18.181818181818183,50.0,31.818181818181817,,0.1297192722558975,0.1297192722558975
4452_t1_dilute.POSCAR,18.181818181818183,59.09090909090909,22.727272727272727,,0.166495218873024,0.166495218873024
122_t1_dilute.POSCAR,59.09090909090909,36.36363636363637,4.545454545454546,,-0.3383121788501739,-0.3383121788501739
2050_t1_dilute.POSCAR,45.45454545454545,4.545454545454546,50.0,,-0.0405010394752025,-0.0405010394752025
7025_t1_dilute.POSCAR,50.0,22.727272727272727,27.27272727272727,,-0.3669606745243072,-0.3669606745243072
1427_t1_dilute.POSCAR,31.818181818181817,68.18181818181817,0.0,,0.1224024519324302,0.1224024519324302
1222_t1_dilute.POSCAR,40.909090909090914,18.181818181818183,40.909090909090914,,-0.0376545004546642,-0.0376545004546642
