Name,Al Concentration (%),Fe Concentration (%),Ni Concentration (%)
626_t1_endmembers.POSCAR,18.181818181818183,54.54545454545454,27.27272727272727
451_t1_endmembers.POSCAR,36.36363636363637,27.27272727272727,36.36363636363637
570_t1_endmembers.POSCAR,54.54545454545454,18.181818181818183,27.27272727272727
13_t1_endmembers.POSCAR,63.63636363636363,36.36363636363637,0.0
707_t1_endmembers.POSCAR,18.181818181818183,36.36363636363637,45.45454545454545
583_t1_endmembers.POSCAR,36.36363636363637,36.36363636363637,27.27272727272727
509_t1_endmembers.POSCAR,36.36363636363637,36.36363636363637,27.27272727272727
99_t1_endmembers.POSCAR,27.27272727272727,36.36363636363637,36.36363636363637
114_t1_endmembers.POSCAR,27.27272727272727,54.54545454545454,18.181818181818183
390_t1_endmembers.POSCAR,18.181818181818183,45.45454545454545,36.36363636363637
363_t1_endmembers.POSCAR,18.181818181818183,63.63636363636363,18.181818181818183
427_t1_endmembers.POSCAR,36.36363636363637,27.27272727272727,36.36363636363637
650_t1_endmembers.POSCAR,54.54545454545454,18.181818181818183,27.27272727272727
629_t1_endmembers.POSCAR,18.181818181818183,36.36363636363637,45.45454545454545
234_t1_endmembers.POSCAR,9.090909090909092,18.181818181818183,72.72727272727273
708_t1_endmembers.POSCAR,18.181818181818183,18.181818181818183,63.63636363636363
191_t1_endmembers.POSCAR,45.45454545454545,36.36363636363637,18.181818181818183
315_t1_endmembers.POSCAR,18.181818181818183,27.27272727272727,54.54545454545454
162_t1_endmembers.POSCAR,9.090909090909092,18.181818181818183,72.72727272727273
96_t1_endmembers.POSCAR,27.27272727272727,54.54545454545454,18.181818181818183
506_t1_endmembers.POSCAR,54.54545454545454,18.181818181818183,27.27272727272727
65_t1_endmembers.POSCAR,45.45454545454545,36.36363636363637,18.181818181818183
495_t1_endmembers.POSCAR,54.54545454545454,0.0,45.45454545454545
611_t1_endmembers.POSCAR,0.0,72.72727272727273,27.27272727272727
466_t1_endmembers.POSCAR,36.36363636363637,9.090909090909092,54.54545454545454
275_t1_endmembers.POSCAR,36.36363636363637,63.63636363636363,0.0
286_t1_endmembers.POSCAR,36.36363636363637,45.45454545454545,18.181818181818183
