Name,SIPFENN_Krajewski2022_NN30
54_t1_dilute.POSCAR,-0.3238702118396759
55_t1_dilute.POSCAR,-0.2928878962993622
56_t1_dilute.POSCAR,-0.32983115315437317
57_t1_dilute.POSCAR,-0.31348487734794617
58_t1_dilute.POSCAR,-0.33659353852272034
59_t1_dilute.POSCAR,-0.3070460855960846
60_t1_dilute.POSCAR,-0.3418959677219391
61_t1_dilute.POSCAR,-0.3898673355579376
62_t1_dilute.POSCAR,-0.4011644423007965
63_t1_dilute.POSCAR,-0.3888632357120514
64_t1_dilute.POSCAR,-0.4005001485347748
65_t1_dilute.POSCAR,-0.38801369071006775
66_t1_dilute.POSCAR,-0.39791712164878845
67_t1_dilute.POSCAR,-0.39001598954200745
68_t1_dilute.POSCAR,-0.4016684591770172
69_t1_dilute.POSCAR,-0.3519231379032135
70_t1_dilute.POSCAR,-0.3895128667354584
71_t1_dilute.POSCAR,-0.3339160978794098
72_t1_dilute.POSCAR,-0.37607380747795105
73_t1_dilute.POSCAR,-0.28063300251960754
74_t1_dilute.POSCAR,-0.349677175283432
75_t1_dilute.POSCAR,-0.27960219979286194
76_t1_dilute.POSCAR,-0.3464149534702301
77_t1_dilute.POSCAR,-0.2778637707233429
78_t1_dilute.POSCAR,-0.3403748571872711
79_t1_dilute.POSCAR,-0.28065118193626404
80_t1_dilute.POSCAR,-0.34943148493766785
81_t1_dilute.POSCAR,-0.1887388676404953
82_t1_dilute.POSCAR,-0.24552206695079803
83_t1_dilute.POSCAR,-0.2774101793766022
84_t1_dilute.POSCAR,-0.3439255654811859
85_t1_dilute.POSCAR,-0.37593284249305725
86_t1_dilute.POSCAR,-0.38940778374671936
87_t1_dilute.POSCAR,-0.37566515803337097
88_t1_dilute.POSCAR,-0.38868775963783264
89_t1_dilute.POSCAR,-0.3727770149707794
90_t1_dilute.POSCAR,-0.38530513644218445
91_t1_dilute.POSCAR,-0.37616387009620667
92_t1_dilute.POSCAR,-0.3895932734012604
93_t1_dilute.POSCAR,-0.3411391079425812
94_t1_dilute.POSCAR,-0.36397090554237366
95_t1_dilute.POSCAR,-0.3163178265094757
96_t1_dilute.POSCAR,-0.387818843126297
97_t1_dilute.POSCAR,-0.39843061566352844
98_t1_dilute.POSCAR,-0.5075188875198364
99_t1_dilute.POSCAR,-0.3970884382724762
100_t1_dilute.POSCAR,-0.5028970837593079
101_t1_dilute.POSCAR,-0.39140674471855164
102_t1_dilute.POSCAR,-0.49901142716407776
103_t1_dilute.POSCAR,-0.399362176656723
104_t1_dilute.POSCAR,-0.5086493492126465
105_t1_dilute.POSCAR,-0.47535839676856995
106_t1_dilute.POSCAR,-0.39699146151542664
107_t1_dilute.POSCAR,-0.44676896929740906
108_t1_dilute.POSCAR,-0.397245317697525
109_t1_dilute.POSCAR,-0.26432016491889954
110_t1_dilute.POSCAR,-0.272348552942276
111_t1_dilute.POSCAR,-0.2587815821170807
112_t1_dilute.POSCAR,-0.2560570538043976
113_t1_dilute.POSCAR,-0.2658269703388214
114_t1_dilute.POSCAR,-0.270781546831131
115_t1_dilute.POSCAR,-0.19872842729091644
116_t1_dilute.POSCAR,-0.2381226271390915
117_t1_dilute.POSCAR,-0.26487234234809875
118_t1_dilute.POSCAR,-0.27257445454597473
119_t1_dilute.POSCAR,-0.26296547055244446
120_t1_dilute.POSCAR,-0.2669425904750824
121_t1_dilute.POSCAR,-0.3011372983455658
122_t1_dilute.POSCAR,-0.33831217885017395
123_t1_dilute.POSCAR,-0.2991260588169098
124_t1_dilute.POSCAR,-0.32809749245643616
125_t1_dilute.POSCAR,-0.3058134615421295
126_t1_dilute.POSCAR,-0.34011808037757874
127_t1_dilute.POSCAR,-0.31721749901771545
128_t1_dilute.POSCAR,-0.341495543718338
129_t1_dilute.POSCAR,-0.3037586510181427
130_t1_dilute.POSCAR,-0.3398813307285309
131_t1_dilute.POSCAR,-0.314474493265152
132_t1_dilute.POSCAR,-0.3458541929721832
133_t1_dilute.POSCAR,-0.3921957314014435
134_t1_dilute.POSCAR,-0.4043993651866913
135_t1_dilute.POSCAR,-0.39464738965034485
136_t1_dilute.POSCAR,-0.39928898215293884
137_t1_dilute.POSCAR,-0.39200690388679504
138_t1_dilute.POSCAR,-0.4038785398006439
139_t1_dilute.POSCAR,-0.3440941274166107
140_t1_dilute.POSCAR,-0.39398273825645447
141_t1_dilute.POSCAR,-0.39295515418052673
142_t1_dilute.POSCAR,-0.40477582812309265
143_t1_dilute.POSCAR,-0.3264801800251007
144_t1_dilute.POSCAR,-0.3756403625011444
145_t1_dilute.POSCAR,-0.28081193566322327
